Date,GS.N,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,OBV,Chaikin A/D,SMA,EMA
2010-06-07,132.26,28.9268,48.7788,46.4826,30.1369,-81.6683,42.8571,71.4286,-373343800.0000,652842756.4268,112.0131,112.2794
2010-07-07,135.83,51.1539,28.5839,40.8636,29.9021,16.0469,78.5714,50.0000,-420109600.0000,627438436.6360,105.8006,105.6939
2010-08-07,135.46,,,,,,,,,,,
2010-09-07,138.06,80.9598,64.4632,55.6344,37.3075,89.4699,71.4286,7.1429,-375650000.0000,632258186.1389,111.5923,112.4632
2010-12-07,137.25,79.1379,81.8254,62.4920,22.7716,100.7409,64.2857,14.2857,-339489600.0000,649413731.4642,126.2188,127.5450
2010-07-13,140.25,89.2589,87.9834,55.6683,23.5809,155.5972,50.0000,100.0000,-418830400.0000,637113414.7284,106.0352,107.0028
2010-07-14,139.06,81.5869,85.3805,57.4308,23.3604,94.9340,42.8571,92.8571,-424898900.0000,639857568.4751,106.3745,107.4834
2010-07-15,145.22,84.2502,85.0320,59.1002,25.8520,151.1479,35.7143,100.0000,-403277000.0000,656195825.0588,106.8735,107.9811
2010-07-16,146.21,75.5500,80.4624,75.7051,29.3726,183.6207,28.5714,100.0000,-373672400.0000,627785360.1848,108.4306,110.0270
2010-07-19,145.68,70.2011,76.6671,65.8471,31.1692,110.4458,21.4286,92.8571,-384548300.0000,626456083.5181,109.6554,111.1571
2010-07-20,148.91,65.9654,70.5722,54.4628,31.1634,95.9696,14.2857,85.7143,-363976900.0000,642903144.1538,110.3198,111.2960
2010-07-21,146.99,66.3569,67.5078,64.2952,31.5451,95.2225,7.1429,78.5714,-375313900.0000,632283326.6356,111.7060,112.5360
2010-07-22,146.55,63.6583,65.3269,62.0809,30.2739,61.8092,0.0000,71.4286,-388621200.0000,630096462.6496,112.6475,113.3831
2010-07-23,147.38,58.1350,62.7167,57.8610,29.1298,49.7922,0.0000,64.2857,-381314300.0000,633483515.2537,113.5362,113.7570
2010-07-26,148.2,60.1103,60.6345,58.8913,28.3539,55.4382,0.0000,57.1429,-375225300.0000,637001961.1640,114.3061,114.1688
2010-07-27,147.23,59.1883,59.1445,61.3062,27.9496,64.2439,0.0000,50.0000,-382376500.0000,631087434.8482,115.1397,114.7491
2010-07-28,147.2,56.2740,58.5242,56.7522,27.4160,45.2812,0.0000,42.8571,-387222100.0000,628418468.0033,115.7466,114.9247
2010-07-29,152.58,63.8614,59.7746,58.8176,28.7695,241.4396,0.0000,100.0000,-371564400.0000,640842512.5685,116.3960,115.2502
2010-07-30,150.82,71.6394,63.9249,63.5133,30.0761,174.0222,0.0000,100.0000,-380356800.0000,632184861.9938,116.3866,115.9573
2010-02-08,152.74,30.5306,48.4708,43.1837,37.6464,-36.9121,57.1429,14.2857,-250232600.0000,750277347.5001,120.3557,121.6093
2010-03-08,153.19,94.0600,86.6790,74.4725,26.9476,170.9354,50.0000,100.0000,-182813100.0000,795408636.9786,124.8251,125.7620
2010-04-08,156.41,78.1854,66.1875,62.7865,25.7761,171.5210,71.4286,100.0000,-154863200.0000,827285042.5487,136.0696,136.1226
2010-05-08,155.92,,,,,,,,,,,
2010-06-08,155.18,18.6804,33.0682,41.3216,32.1420,-157.7309,35.7143,64.2857,-387930800.0000,655457704.5910,111.8149,111.7792
2010-09-08,155.4,84.5334,78.4488,53.5695,36.5297,121.2475,64.2857,100.0000,-367339700.0000,632374143.8134,111.6673,112.8759
2010-10-08,153.9,85.5401,83.6069,61.2058,20.3084,126.6742,50.0000,7.1429,-355979800.0000,635182787.6928,116.5844,117.5137
2010-11-08,149.25,92.3369,88.5907,81.6627,42.4309,151.4401,0.0000,100.0000,-323469800.0000,662196519.3332,128.1248,128.7640
2010-12-08,149.42,83.5448,83.9822,52.0644,23.3672,130.5081,57.1429,7.1429,-334230100.0000,654673231.4642,126.4732,127.6467
2010-08-13,148.08,9.0196,18.4695,49.2340,30.2419,-124.1898,0.0000,50.0000,-378320000.0000,638272927.4266,120.2485,119.0412
2010-08-16,147.76,10.7296,11.5850,45.1269,28.9690,-109.4350,7.1429,42.8571,-382080100.0000,637139367.8678,119.8360,118.5194
2010-08-17,148.59,14.9331,11.5608,48.0685,27.2577,-70.2425,0.0000,35.7143,-377688500.0000,635143186.0496,119.5652,118.2500
2010-08-18,149.2,34.2875,19.9834,47.7068,26.0215,-56.4550,85.7143,28.5714,-373227900.0000,636616596.9093,119.1653,118.0095
2010-08-19,147.05,37.1822,28.8009,48.1096,25.9244,-77.9328,100.0000,21.4286,-378518800.0000,633736343.6549,118.6174,117.8314
2010-08-20,148.24,44.4328,38.6342,44.5057,25.8370,-60.7422,92.8571,14.2857,-373242000.0000,634533999.4688,118.0585,117.5096
2010-08-23,146.74,28.1951,36.6034,46.9469,26.2226,-101.7053,85.7143,7.1429,-376971200.0000,631354365.7846,117.4437,117.3436
2010-08-24,143.95,22.7481,31.7920,37.9018,28.1686,-236.5972,100.0000,0.0000,-383343500.0000,625974160.3954,116.7180,116.7326
2010-08-25,144.68,14.2077,21.7170,33.5915,30.4015,-163.6508,100.0000,0.0000,-377705100.0000,628771506.1318,116.0166,115.9479
2010-08-26,141.81,10.7022,15.8860,41.5031,32.8625,-146.2333,100.0000,7.1429,-384523200.0000,622537814.7033,115.7907,115.6108
2010-08-27,139.75,14.8722,13.2607,33.5574,36.1601,-161.0054,100.0000,0.0000,-395775200.0000,620958021.0070,115.1412,114.7896
2010-08-30,136.66,5.6014,10.3920,30.2711,39.4329,-146.9339,100.0000,0.0000,-401981000.0000,614788092.6833,114.4805,113.8395
2010-08-31,136.94,9.0619,9.8452,26.4434,42.5777,-127.3296,100.0000,0.0000,-394916900.0000,614979014.3049,113.5295,112.6918
2010-01-09,139.74,,,,,,,,,,,
2010-02-09,139.78,33.5441,37.9255,40.9139,38.4187,-44.4735,50.0000,7.1429,-236215300.0000,756780218.6341,120.1825,121.2521
2010-03-09,147.29,87.5320,88.6634,76.1515,30.4288,122.5958,42.8571,100.0000,-195771800.0000,787695125.0739,125.8272,127.0571
2010-06-09,,17.0375,21.5482,40.4475,33.9465,-133.2304,28.5714,57.1429,-396881400.0000,649751239.0577,112.1443,111.2911
2010-07-09,145.21,89.3954,70.9214,48.6016,25.0875,76.3710,64.2857,35.7143,-423085400.0000,633321743.0029,106.1344,106.1604
2010-08-09,147.54,70.7522,78.5981,67.8556,39.0849,80.9392,0.0000,78.5714,-365454500.0000,648293606.9382,119.6801,119.9284
2010-09-09,149.14,82.2486,82.5806,62.4407,36.2219,127.5974,57.1429,100.0000,-360609900.0000,629595786.0152,112.2469,113.8463
2010-10-09,150.39,,,,,,,,,,,
2010-09-13,154.37,93.4861,88.1017,66.5077,37.1371,126.4452,42.8571,100.0000,-348539100.0000,637922472.8193,113.5444,115.6143
2010-09-14,152.53,89.9390,90.6652,68.4639,38.1241,96.6509,35.7143,92.8571,-354227300.0000,634486282.0572,114.7053,116.6249
2010-09-15,152.56,79.7075,87.7109,62.2697,37.6553,73.0886,28.5714,85.7143,-348529100.0000,638900380.6487,115.9223,117.1835
2010-09-16,152.23,66.7717,78.8061,63.4677,37.2333,61.0703,21.4286,78.5714,-352917700.0000,641626632.1639,116.9695,117.7280
2010-09-17,150.98,44.5644,63.6812,62.8497,36.2931,37.7555,14.2857,71.4286,-357753300.0000,638917683.4728,117.9308,118.1491
2010-09-20,151.9,40.1143,50.4835,58.6335,34.8139,28.2029,7.1429,64.2857,-352112800.0000,642310972.3174,118.6695,118.3316
2010-09-21,151.4,31.5144,38.7310,61.5030,34.6700,53.1500,0.0000,57.1429,-358988800.0000,636660006.8002,119.1398,118.6429
2010-09-22,148.07,29.9738,33.8675,53.6054,31.7603,-144.9465,0.0000,50.0000,-367974900.0000,630061821.4855,119.5005,118.5878
2010-09-23,144.91,15.5234,25.6705,43.3303,30.1568,-214.0787,0.0000,42.8571,-377127300.0000,626799893.4578,119.2298,118.0275
2010-09-24,147.28,15.1555,20.2176,43.0493,28.2248,-113.3553,0.0000,35.7143,-371503600.0000,630401588.9634,118.9765,117.5534
2010-09-27,146.0,19.6726,16.7838,45.7495,25.9374,-88.3575,85.7143,28.5714,-376709500.0000,626066638.0129,118.5574,117.2744
2010-09-28,145.01,21.9711,18.9331,44.2170,24.8685,-100.5002,78.5714,21.4286,-382214300.0000,624532348.9839,118.0026,116.9745
2010-09-29,144.42,22.2597,21.3012,39.8024,24.6958,-105.9931,100.0000,14.2857,-389159200.0000,628116813.5001,117.4778,116.5153
2010-09-30,144.58,27.4859,23.9056,40.8159,23.0908,-62.8421,92.8571,7.1429,-382304800.0000,622694676.1866,116.9230,116.1726
2010-01-10,147.7,,,,,,,,,,,
2010-04-10,146.57,,,,,,,,,,,
2010-05-10,149.57,29.9062,28.6165,39.1508,45.7995,-73.8967,85.7143,0.0000,-297512300.0000,678097400.7066,118.2068,118.8053
2010-06-10,150.84,19.4523,18.3901,38.8059,36.8141,-148.7595,100.0000,50.0000,-418812400.0000,644564663.8247,111.6454,110.7501
2010-07-10,151.11,,,,,,,,,,,
2010-08-10,152.66,51.3511,66.8347,61.5666,38.4128,28.0391,7.1429,71.4286,-371316200.0000,647740616.3721,120.0682,120.1670
2010-11-10,152.2,61.0406,76.8300,64.3045,40.3901,49.4128,14.2857,85.7143,-324485600.0000,656970253.2802,129.9163,130.0545
2010-12-10,155.21,93.6275,85.7192,62.7018,26.3467,136.6181,42.8571,100.0000,-323940100.0000,657492911.4642,127.7941,129.0310
2010-10-13,154.73,83.4668,86.7255,70.6582,25.6751,120.9180,28.5714,100.0000,-359682400.0000,637006371.3413,118.2993,119.2181
2010-10-14,151.59,61.2366,78.3816,62.4876,24.2837,35.1556,21.4286,92.8571,-366573500.0000,633947754.7637,119.0080,119.6725
2010-10-15,150.69,29.9296,58.2110,57.0357,23.0315,-2.9075,14.2857,85.7143,-373475000.0000,627250239.9854,119.5991,119.8233
2010-10-18,153.7,23.5071,38.2244,51.3469,22.9242,48.2358,7.1429,78.5714,-366502700.0000,631536328.0874,119.8540,119.6942
2010-10-19,156.72,40.3383,31.2583,61.5419,25.0740,174.8247,0.0000,100.0000,-352011500.0000,631289037.9850,120.4523,120.1926
2010-10-20,159.6,70.6779,44.8411,63.6905,27.1867,159.1301,0.0000,100.0000,-341380300.0000,639356126.6677,120.9621,120.7539
2010-10-21,159.3,80.1452,63.7204,69.6284,29.4904,143.1937,7.1429,100.0000,-347731200.0000,637488214.9030,121.5516,121.6968
2010-10-22,157.76,79.2955,76.7062,70.1278,30.9876,86.1258,0.0000,92.8571,-351782900.0000,634286064.9030,122.2414,122.5127
2010-10-25,157.39,63.6440,74.3615,68.0040,31.1745,54.8624,0.0000,85.7143,-357511200.0000,632592793.8339,122.7693,123.1042
2010-10-26,158.29,54.2946,65.7447,58.2418,31.3426,48.8767,0.0000,78.5714,-353442700.0000,635033893.8339,123.1971,123.2093
2010-10-27,160.15,57.3962,58.4450,59.3949,32.3697,73.2029,0.0000,71.4286,-346871800.0000,639994099.6834,123.2673,123.3628
2010-10-28,163.24,72.8434,61.5114,67.2425,34.4593,147.9900,28.5714,100.0000,-336953000.0000,646655980.2805,123.7905,124.0149
