Date,MSFT.O,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,OBV,Chaikin A/D,SMA,EMA
2010-09-02,28.01,57.1164,37.5943,38.6372,32.3703,-24.8655,85.7143,14.2857,-1127056896.0000,-7384213182.9848,18.4091,18.4180
2010-10-02,27.99,,,,,,,,,,,
2010-11-02,28.12,86.9444,86.3913,75.4367,44.6718,132.7471,0.0000,100.0000,-744836196.0000,-7131200984.5745,19.9344,20.0990
2010-12-02,27.93,76.1938,58.4313,60.8494,31.0280,205.2581,78.5714,100.0000,-1066951796.0000,-7182059771.2580,19.7203,19.8221
2010-02-15,,,,,,,,,,,,
2010-02-16,28.35,69.1516,56.6385,39.5301,35.2312,96.0959,57.1429,21.4286,-225210696.0000,-7268263946.0317,21.2748,21.4028
2010-02-17,28.59,78.7242,66.4919,48.7904,32.2344,153.4141,50.0000,14.2857,-179327796.0000,-7241367073.6179,21.2968,21.4564
2010-02-18,28.969,96.3094,81.3951,50.0649,30.9683,178.8358,42.8571,7.1429,-136471296.0000,-7208565367.8487,21.3317,21.5086
2010-02-19,28.77,91.5378,88.8572,54.2794,29.8289,117.5713,35.7143,0.0000,-180923096.0000,-7222094176.5444,21.3727,21.5790
2010-02-22,28.73,83.3092,90.3855,55.3267,28.5732,89.2056,28.5714,85.7143,-217630196.0000,-7238549083.4409,21.4463,21.6435
2010-02-23,28.33,59.7768,78.2079,51.1599,26.6913,20.0414,21.4286,78.5714,-269896396.0000,-7256912883.4409,21.5070,21.6741
2010-02-24,28.63,51.0919,64.7260,47.2093,24.9977,43.9591,14.2857,71.4286,-226730496.0000,-7247437441.9775,21.5586,21.6771
2010-02-25,28.6,48.6741,53.1809,41.6286,24.8688,-1.5464,7.1429,64.2857,-275465796.0000,-7206437903.8823,21.5865,21.6449
2010-02-26,28.67,63.7142,54.4934,51.3429,23.6749,48.4455,0.0000,57.1429,-235095196.0000,-7208812645.0587,21.6510,21.6711
2010-01-03,29.02,,,,,,,,,,,
2010-02-03,28.46,37.1681,31.4246,28.0770,36.0836,-73.3702,78.5714,14.2857,-222916796.0000,-7274305735.3142,22.1939,22.1117
2010-03-03,28.46,55.2791,66.5261,47.1446,20.3572,-85.7238,14.2857,92.8571,-284413696.0000,-7231983041.2851,21.8044,21.7649
2010-04-03,28.63,,,,,,,,,,,
2010-05-03,28.5875,26.2553,26.8427,51.1479,23.5085,-82.6018,0.0000,57.1429,238563704.0000,-7149517768.0956,23.5954,23.4729
2010-08-03,28.63,70.7547,66.2999,62.7295,17.0124,78.9625,28.5714,78.5714,-901094096.0000,-7384668687.1306,19.7941,19.7435
2010-09-03,28.8,80.3596,56.7424,49.3075,29.3285,110.7796,78.5714,7.1429,-1062867796.0000,-7402186130.9848,18.4037,18.4541
2010-10-03,28.97,,,,,,,,,,,
2010-11-03,29.18,85.5113,85.8102,77.7106,47.4036,94.6177,21.4286,100.0000,-855091496.0000,-7212332243.0650,20.0934,20.2609
2010-12-03,29.27,92.6076,76.2543,68.7152,31.6230,169.4956,71.4286,100.0000,-1014329796.0000,-7144472628.4008,19.8053,19.9849
2010-03-15,29.29,91.7860,87.7803,60.5902,17.1131,111.5349,14.2857,92.8571,-58385496.0000,-7128778654.7049,21.9063,21.9533
2010-03-16,29.37,86.4218,89.3509,64.9697,18.1572,111.0978,7.1429,100.0000,-21661996.0000,-7122447016.7739,21.9322,22.0300
2010-03-17,29.63,82.7453,86.9844,66.3546,20.7225,140.9529,0.0000,100.0000,28723704.0000,-7123519052.9441,22.0075,22.1037
2010-03-18,29.61,76.2822,81.8164,68.5558,23.0314,111.9027,14.2857,92.8571,-15121496.0000,-7123519052.9441,22.0962,22.1817
2010-03-19,29.59,70.4689,76.4988,70.7643,25.7612,97.6640,7.1429,100.0000,-96453596.0000,-7133870411.1259,22.1799,22.2638
2010-03-22,29.6,64.0263,70.2591,61.3667,28.2180,69.0090,0.0000,92.8571,-58735396.0000,-7120486533.7065,22.2544,22.2951
2010-03-23,29.88,72.8917,69.1289,63.2441,31.1110,95.5267,7.1429,100.0000,-16708796.0000,-7081890676.5637,22.3328,22.3331
2010-03-24,29.65,69.3506,68.7562,65.9034,33.7147,74.7694,0.0000,92.8571,-50696496.0000,-7102283296.5637,22.3982,22.3821
2010-03-25,30.01,68.3358,70.1927,68.6200,37.6819,193.7574,0.0000,100.0000,22472204.0000,-7135541796.5637,22.4719,22.4416
2010-03-26,29.66,43.8417,60.5094,72.6044,39.3559,72.5633,0.0000,92.8571,-33123296.0000,-7178377673.6129,22.5305,22.5221
2010-03-29,29.59,30.8323,47.6700,58.8801,40.5132,-13.6054,0.0000,85.7143,-66459296.0000,-7201836340.2795,22.5708,22.5354
2010-03-30,29.77,21.2107,31.9616,56.3869,41.0950,-3.5888,0.0000,78.5714,-31504496.0000,-7184358940.2795,22.5868,22.5353
2010-03-31,29.2875,16.3812,22.8081,56.6419,38.9464,-159.4048,0.0000,71.4286,-95264496.0000,-7220876031.1886,22.5974,22.5365
2010-01-04,29.16,26.4706,46.8808,55.2252,25.3820,14.2157,28.5714,78.5714,-16571096.0000,-7144622412.1839,23.2818,23.2624
2010-02-04,,28.7611,32.1534,30.7348,37.4582,-106.0936,71.4286,7.1429,-300766796.0000,-7345386170.0968,22.0251,21.9978
2010-05-04,29.27,20.4816,23.5508,46.6037,23.9093,-221.2706,100.0000,50.0000,156478104.0000,-7153622048.0956,23.5422,23.4253
2010-06-04,29.32,69.0313,74.6594,35.9531,58.7814,-27.4595,57.1429,7.1429,-685126996.0000,-7386045140.9678,19.9531,20.2110
2010-07-04,29.35,,,,,,,,,,,
2010-08-04,29.92,68.2390,68.8968,61.4149,16.2557,-54.8862,21.4286,71.4286,-979625996.0000,-7406264959.6306,19.8362,19.7862
2010-09-04,30.34,,,,,,,,,,,
2010-12-04,30.32,,,,,,,,,,,
2010-04-13,30.45,93.3900,90.8186,66.3784,29.0667,115.1871,50.0000,14.2857,92756304.0000,-7077931800.2283,22.4912,22.5994
2010-04-14,30.82,91.4923,92.7150,75.1739,30.9330,133.5921,42.8571,100.0000,161697504.0000,-7081987164.9342,22.5794,22.7480
2010-04-15,30.87,91.3235,92.0686,75.5077,32.6127,103.8301,35.7143,92.8571,214442904.0000,-7064405364.9342,22.6691,22.8737
2010-04-16,30.67,79.9053,87.5737,74.3965,33.2803,79.0109,28.5714,85.7143,125739804.0000,-7120428375.4605,22.7786,22.9725
2010-04-19,31.039,77.1550,82.7946,73.5943,34.6997,99.1875,21.4286,100.0000,190710104.0000,-7111412088.9299,22.9034,23.0505
2010-04-20,31.36,77.9020,78.3208,79.2011,36.4780,117.2817,14.2857,100.0000,242909604.0000,-7086154266.3493,23.0608,23.1765
2010-04-21,31.332,84.3234,79.7935,80.3352,38.2324,110.3138,7.1429,100.0000,187566504.0000,-7099682579.6826,23.2258,23.2949
2010-04-22,31.39,85.5853,82.6035,69.2710,37.2672,89.6348,0.0000,100.0000,272414104.0000,-7052545024.1271,23.3566,23.3516
2010-04-23,30.96,66.5376,78.8154,70.5156,34.8290,34.4526,7.1429,100.0000,145647504.0000,-7094800557.4604,23.4456,23.4091
2010-04-26,31.11,55.9140,69.3456,66.0563,32.6346,26.6902,0.0000,92.8571,209296804.0000,-7081763953.8459,23.5027,23.4395
2010-04-27,30.845,34.5878,52.3465,64.1773,29.9534,-38.7053,0.0000,85.7143,140565904.0000,-7124221448.0940,23.5635,23.4575
2010-04-28,30.91,33.5461,41.3493,62.9830,27.1704,-81.2935,0.0000,78.5714,205123804.0000,-7090243605.9887,23.5734,23.4680
2010-04-29,31.003,30.3573,32.8304,63.2364,26.4724,-14.2987,0.0000,71.4286,257789004.0000,-7096956987.3067,23.5818,23.4781
2010-04-30,30.535,23.9155,29.2730,66.7744,24.9125,-153.5768,7.1429,64.2857,194574204.0000,-7156785280.1638,23.6030,23.5056
2010-03-05,30.86,34.6502,41.7034,50.7254,19.8067,-19.6408,0.0000,78.5714,-297524896.0000,-7177452875.9005,21.7846,21.7528
2010-04-05,30.13,31.6631,23.5485,42.0441,33.5639,-108.6218,92.8571,57.1429,-135701396.0000,-7200485156.7803,22.5284,22.4350
2010-05-05,29.85,22.9934,23.2434,31.2026,24.4661,-187.0720,100.0000,42.8571,89644304.0000,-7166988808.0956,23.4236,23.2827
2010-06-05,28.98,,,,,,,,,,,
2010-07-05,28.21,,,,,,,,,,,
2010-10-05,28.94,25.8290,19.9411,32.9940,14.8561,-96.2052,92.8571,14.2857,-1513913996.0000,-7459729652.2539,18.8377,18.7735
2010-11-05,28.88,56.4602,73.3661,71.3370,48.6297,36.0491,7.1429,85.7143,-872445896.0000,-7251351352.5888,20.3798,20.4886
2010-12-05,29.44,,,,,,,,,,,
2010-05-13,29.24,72.9327,59.8165,37.5674,34.8259,-15.5901,71.4286,0.0000,-187864896.0000,-7210144147.0659,22.5482,22.4540
2010-05-14,28.93,64.5050,66.8443,36.6356,35.7422,-52.3605,64.2857,21.4286,-251198896.0000,-7209033024.2589,22.4060,22.4091
2010-05-17,28.94,49.6613,62.3663,35.3370,36.8854,-47.9526,57.1429,14.2857,-205145596.0000,-7197224485.7974,22.2881,22.3614
2010-05-18,28.5975,30.3318,48.1660,33.3852,37.9143,-53.1453,50.0000,7.1429,-257836196.0000,-7215227107.4640,22.1726,22.3059
2010-05-19,28.24,28.2951,36.0961,28.2520,39.8154,-128.6976,42.8571,0.0000,-319582896.0000,-7215227107.4640,22.0874,22.2119
2010-05-20,27.11,16.6686,25.0985,19.8307,42.3940,-192.0772,100.0000,0.0000,-407573996.0000,-7287819764.9640,21.9494,22.0142
2010-05-21,26.84,14.4589,19.8075,14.2842,45.2371,-182.4638,100.0000,0.0000,-525170296.0000,-7265002572.4267,21.7837,21.7107
2010-05-24,26.27,6.2724,12.4666,19.6687,47.9363,-143.4722,100.0000,0.0000,-598881996.0000,-7336257215.7601,21.6287,21.4929
2010-05-25,26.07,12.0871,10.9395,14.2453,50.9417,-128.0205,100.0000,0.0000,-697255596.0000,-7291730217.8653,21.4071,21.1481
2010-05-26,25.01,11.6435,10.0010,25.3061,54.0356,-122.6639,100.0000,0.0000,-873939696.0000,-7390656034.2467,21.2070,20.9465
2010-05-27,26.0,30.3453,18.0253,22.5234,56.8201,-72.2184,92.8571,28.5714,-737506096.0000,-7408918799.6011,20.9475,20.7121
2010-05-28,25.8,41.3677,27.7855,24.5514,59.3570,-69.5145,85.7143,21.4286,-805002996.0000,-7435330630.0359,20.7009,20.5356
2010-05-31,,,,,,,,,,,,
2010-01-06,25.89,42.9799,33.4987,60.4486,22.0632,-62.9946,14.2857,64.2857,-25003896.0000,-7131389005.9727,23.3946,23.2972
2010-02-06,26.46,,,,,,,,,,,
2010-03-06,26.86,,,,,,,,,,,
2010-04-06,25.79,47.6827,33.9824,42.7260,30.3753,-74.2315,85.7143,50.0000,-88334596.0000,-7194169583.4469,22.5018,22.3867
2010-07-06,25.29,40.3134,21.9579,32.4275,37.9960,-32.4957,85.7143,28.5714,-1171679296.0000,-7789838500.4212,18.6825,18.5344
2010-08-06,25.11,29.4983,46.5724,41.8425,17.1393,-131.8554,7.1429,57.1429,-988565996.0000,-7361129527.4985,19.7842,19.6399
2010-09-06,24.79,,,,,,,,,,,
2010-10-06,25.0,42.5992,27.8179,45.2648,14.0628,-36.6642,85.7143,7.1429,-1463424296.0000,-7436331986.4003,18.7939,18.7561
2010-11-06,25.66,,,,,,,,,,,
2010-06-14,25.495,56.1087,35.8704,42.9672,52.3067,1.1210,14.2857,50.0000,-844715996.0000,-7458521041.5905,19.6009,19.6432
2010-06-15,26.5825,82.1815,58.3148,41.6358,47.2010,84.0624,7.1429,42.8571,-763074496.0000,-7388991192.6894,19.6177,19.6486
2010-06-16,26.32,81.1327,73.1410,52.3697,42.6058,85.8099,0.0000,35.7143,-811772496.0000,-7412644506.9752,19.6490,19.7530
2010-06-17,26.37,87.7016,83.6719,53.5560,39.0183,96.5116,50.0000,28.5714,-763776996.0000,-7410359006.9752,19.6498,19.8509
2010-06-18,26.44,82.4969,83.7770,50.5998,35.7895,85.8025,42.8571,21.4286,-711701396.0000,-7384321206.9752,19.6704,19.9046
2010-06-21,25.95,61.1016,77.1000,56.3737,32.7640,55.6456,35.7143,14.2857,-766326696.0000,-7432391470.9752,19.7437,20.0055
2010-06-22,25.77,33.3264,58.9750,47.1201,29.5758,16.7367,28.5714,7.1429,-822312096.0000,-7486754105.7578,19.8132,20.0019
2010-06-23,25.308,8.1384,34.1888,42.3823,28.2352,-71.7739,21.4286,0.0000,-883778296.0000,-7528902357.1863,19.8560,19.9462
2010-06-24,25.0,3.2419,14.9023,38.7380,27.7968,-116.0709,14.2857,78.5714,-969021696.0000,-7599039331.8699,19.8812,19.8562
2010-06-25,24.5325,5.8216,5.7340,34.5131,28.7633,-161.2729,100.0000,71.4286,-1125278396.0000,-7668378242.4949,19.8820,19.7256
2010-06-28,24.31,6.7833,5.2823,29.7628,29.9919,-140.8252,100.0000,64.2857,-1199063196.0000,-7684942177.1888,19.7789,19.5437
2010-06-29,23.31,8.0897,6.8982,26.8710,32.5897,-156.3405,100.0000,57.1429,-1318945296.0000,-7760830845.9961,19.6551,19.3422
2010-06-30,23.01,5.9371,6.9367,21.7438,35.1155,-133.6242,100.0000,50.0000,-1399995796.0000,-7828557976.1331,19.4129,19.0619
2010-01-07,23.16,37.2175,37.0811,53.1775,21.0297,-177.2098,7.1429,57.1429,-75563596.0000,-7130001092.6394,23.3969,23.2775
2010-02-07,23.27,,,,,,,,,,,
2010-05-07,,22.2416,22.3569,21.5614,32.2867,-178.2294,100.0000,28.5714,-212686796.0000,-7139903896.1184,23.1467,22.9341
2010-06-07,23.82,39.0477,64.1354,33.5291,58.7928,-124.6662,50.0000,0.0000,-765583196.0000,-7452864696.9000,19.8912,20.1229
2010-07-07,24.3,67.2051,41.2791,34.6480,36.1102,1.1608,78.5714,21.4286,-1091713996.0000,-7714378287.7452,18.5038,18.4733
2010-08-07,24.4095,,,,,,,,,,,
2010-09-07,24.27,77.0164,71.4975,45.8616,27.8549,52.0551,71.4286,0.0000,-1114796496.0000,-7443182473.0900,18.3776,18.4640
2010-12-07,24.83,90.2940,92.4174,71.8731,32.8522,91.4566,57.1429,100.0000,-992733496.0000,-7203957579.0502,20.0031,20.2790
2010-07-13,25.13,87.6846,87.8156,55.2002,27.5128,139.1772,50.0000,0.0000,-982979096.0000,-7654316356.0758,18.3281,18.6809
2010-07-14,25.44,91.6563,88.8886,59.2884,27.3462,132.1457,42.8571,0.0000,-910170996.0000,-7632028162.1982,18.4327,18.8265
2010-07-15,25.51,90.9045,90.0818,59.2884,26.6377,105.8891,35.7143,0.0000,-853236296.0000,-7590027154.0015,18.6008,18.9456
2010-07-16,24.89,73.7658,85.4422,59.4154,25.5909,66.0666,28.5714,100.0000,-918301096.0000,-7653379722.4226,18.7857,19.0445
2010-07-19,25.23,59.2426,74.6377,49.9016,24.6487,55.5364,21.4286,92.8571,-880119296.0000,-7628904209.6020,18.9079,19.0490
2010-07-20,25.48,55.8520,62.9535,48.3380,22.8590,54.4119,14.2857,85.7143,-834588596.0000,-7583373509.6020,18.9965,19.0387
2010-07-21,25.12,57.7473,57.6140,58.9215,21.8820,51.2596,7.1429,100.0000,-907885896.0000,-7625180117.7502,19.1325,19.1332
2010-07-22,25.84,71.8538,61.8177,57.3342,22.1430,160.1814,0.0000,100.0000,-834869496.0000,-7594288563.9040,19.2021,19.1979
2010-07-23,25.81,72.2245,67.2752,61.5536,21.3049,126.1659,0.0000,100.0000,-943389596.0000,-7544961245.7222,19.3174,19.2967
2010-07-26,26.1,88.5988,77.5590,61.8080,21.1772,164.5313,0.0000,100.0000,-876139696.0000,-7511336295.7222,19.4267,19.3804
2010-07-27,26.16,90.3667,83.7300,65.3715,21.2032,129.4130,0.0000,100.0000,-815467596.0000,-7485333967.1508,19.5031,19.4877
2010-07-28,25.95,85.9054,88.2903,63.7200,20.4999,79.9045,0.0000,92.8571,-885172396.0000,-7508568900.4841,19.5466,19.5658
2010-07-29,26.03,77.2081,84.4934,64.5724,18.6653,69.8905,0.0000,100.0000,-815726196.0000,-7504282098.0150,19.5947,19.6380
2010-07-30,25.81,60.4482,74.5206,55.4110,17.7356,-5.2260,0.0000,92.8571,-899260996.0000,-7430976049.0354,19.6131,19.6443
2010-02-08,26.33,19.0483,25.6887,27.4426,40.6258,-103.6814,92.8571,0.0000,-272627296.0000,-7345470450.0471,21.7806,21.7347
2010-03-08,26.16,35.4560,35.0956,47.5883,17.9207,59.0189,50.0000,71.4286,-258110396.0000,-7193035352.6447,21.7603,21.7415
2010-04-08,25.73,72.9187,59.6710,48.9878,26.7308,47.5772,71.4286,35.7143,33698004.0000,-7140838773.0766,22.4387,22.3396
2010-05-08,25.37,,,,,,,,,,,
2010-06-08,25.55,14.0943,40.7244,29.0926,59.3867,-165.2984,42.8571,0.0000,-852938196.0000,-7408471172.3098,19.7689,19.9716
2010-09-08,25.61,61.7783,73.0515,45.1109,27.2488,22.8061,64.2857,0.0000,-1180308896.0000,-7454575933.9596,18.3761,18.4680
2010-10-08,25.07,71.8211,59.0630,52.3580,14.3768,29.2758,71.4286,0.0000,-1372000396.0000,-7415422448.7103,18.8008,18.8064
2010-11-08,24.86,42.6155,59.0675,59.2711,47.5203,19.4930,0.0000,78.5714,-944116696.0000,-7252876263.2271,20.4904,20.4889
2010-12-08,24.49,90.5994,91.7481,64.8278,33.9047,82.7334,50.0000,100.0000,-951066696.0000,-7164184724.5047,20.1005,20.3616
2010-08-13,24.4,15.2894,19.8824,32.4419,25.0618,-119.1783,100.0000,21.4286,-1210978096.0000,-7323775342.0071,19.3549,19.1711
2010-08-16,24.5,14.6212,15.4259,32.6990,27.1834,-91.6209,92.8571,14.2857,-1170068396.0000,-7311898332.3297,19.2303,19.0692
2010-08-17,24.71,34.9513,21.6206,44.0539,26.2818,-23.1328,85.7143,7.1429,-1117155796.0000,-7332475454.5519,19.1264,19.0526
2010-08-18,24.82,59.1946,36.2557,43.5410,26.1096,-15.7732,78.5714,0.0000,-1070336896.0000,-7308198987.8853,19.0240,19.0347
2010-08-19,24.44,64.1814,52.7758,42.4431,26.5862,-58.7880,71.4286,7.1429,-1124401496.0000,-7315339595.4324,18.9675,19.0117
2010-08-20,24.23,43.1094,55.4951,37.0759,27.0470,-85.5367,64.2857,0.0000,-1173961596.0000,-7350031665.4324,18.9108,18.9496
2010-08-23,24.28,18.7954,42.0287,40.5772,26.0187,-46.5579,57.1429,0.0000,-1122318596.0000,-7391353806.0769,18.8358,18.9170
2010-08-24,24.04,7.3333,23.0794,34.7868,25.9987,-126.1666,100.0000,0.0000,-1188841096.0000,-7442671163.2198,18.7507,18.8414
2010-08-25,24.1,13.7245,13.2844,33.4240,26.4366,-133.6823,100.0000,14.2857,-1141436296.0000,-7427772511.7912,18.7084,18.7670
2010-08-26,23.82,11.3918,10.8166,36.2010,27.1114,-137.6673,100.0000,7.1429,-1190541596.0000,-7469512016.7912,18.6929,18.7187
2010-08-27,23.93,22.3744,15.8303,32.6682,28.6245,-127.7497,100.0000,0.0000,-1129602196.0000,-7430080640.3206,18.6666,18.6498
2010-08-30,23.64,18.7209,17.4957,30.4659,29.9862,-120.4163,92.8571,0.0000,-1175055296.0000,-7459005340.3206,18.6288,18.5740
2010-08-31,23.465,22.9152,21.3368,28.3429,32.0399,-133.1444,100.0000,28.5714,-1241129896.0000,-7478344247.6377,18.5435,18.4923
2010-01-09,23.9,,,,,,,,,,,
2010-02-09,23.94,28.4153,25.5734,27.0396,40.3909,-62.4164,85.7143,0.0000,-213431496.0000,-7352493680.5555,21.6875,21.6329
2010-03-09,24.29,44.2236,38.1099,48.5975,17.0093,111.4682,42.8571,64.2857,-207838796.0000,-7198421595.5019,21.7512,21.7377
2010-06-09,,9.7581,20.9667,28.8692,58.8504,-113.6654,35.7143,0.0000,-940732196.0000,-7487143717.7644,19.7361,19.8436
2010-07-09,23.96,88.4372,80.9646,43.9413,30.9325,58.2327,64.2857,7.1429,-1094761996.0000,-7700731129.1609,18.3273,18.5418
2010-08-09,23.93,32.3356,34.6045,49.2043,16.9403,-64.3038,0.0000,50.0000,-931469496.0000,-7342097360.8318,19.7605,19.6181
2010-09-09,24.01,46.6783,61.8244,48.8330,26.6403,68.0067,57.1429,0.0000,-1134279996.0000,-7492235943.0505,18.3907,18.4880
2010-10-09,23.85,,,,,,,,,,,
2010-09-13,25.11,48.1402,42.5940,49.9334,26.7085,216.2324,42.8571,100.0000,-1077883896.0000,-7441101813.0505,18.4068,18.4952
2010-09-14,25.03,61.3348,47.4795,66.7681,26.6935,174.4051,35.7143,100.0000,-1165044296.0000,-7475208056.5288,18.5067,18.6290
2010-09-15,25.115,84.4824,64.6525,67.6319,26.6800,123.2108,28.5714,92.8571,-1108842396.0000,-7458347486.5288,18.6219,18.7468
2010-09-16,25.33,87.5095,77.7756,66.3543,27.1291,108.2629,21.4286,100.0000,-1064294096.0000,-7424936261.5288,18.7286,18.8376
2010-09-17,25.22,86.9588,86.3169,71.4481,28.0100,88.3307,14.2857,100.0000,-1134635696.0000,-7451509754.8621,18.8453,18.9594
2010-09-20,25.43,86.7719,87.0801,67.4439,28.8028,80.3428,7.1429,92.8571,-1084796996.0000,-7423551459.7401,18.9252,19.0423
2010-09-21,25.15,66.8507,80.1938,69.6489,29.3018,55.5593,0.0000,85.7143,-1137472696.0000,-7454537165.6225,19.0266,19.1296
2010-09-22,24.61,47.8158,67.1461,54.2061,26.9551,-36.5092,0.0000,78.5714,-1231772096.0000,-7471541975.4586,19.0896,19.1271
2010-09-23,24.43,21.6851,45.4505,46.0687,24.8431,-82.7204,0.0000,71.4286,-1277973896.0000,-7489620940.6759,19.1141,19.0719
2010-09-24,24.775,21.0421,30.1810,48.9801,22.7953,-69.5043,14.2857,64.2857,-1226025096.0000,-7449478686.1305,19.1648,19.0450
2010-09-27,24.7325,25.6334,22.7869,53.2903,21.7969,-53.2667,7.1429,57.1429,-1269628396.0000,-7462014634.8805,19.2140,19.0509
2010-09-28,24.6775,40.6964,29.1240,52.3083,19.6542,-67.8369,0.0000,50.0000,-1325669596.0000,-7451315860.3350,19.1956,19.0501
2010-09-29,24.5,36.5836,34.3045,48.1208,17.7257,-78.3662,7.1429,42.8571,-1369988496.0000,-7461543298.7966,19.1595,19.0257
2010-09-30,24.49,32.1615,36.4805,47.6225,16.8665,-61.1953,0.0000,35.7143,-1431251196.0000,-7488915994.5413,19.1249,19.0030
2010-01-10,24.38,,,,,,,,,,,
2010-04-10,23.91,,,,,,,,,,,
2010-05-10,24.35,35.9006,26.6593,24.0975,33.7173,-79.9637,92.8571,21.4286,-126033496.0000,-7174790289.6249,22.9954,22.7757
2010-06-10,24.43,14.8483,12.9003,28.1488,58.3676,-102.2415,28.5714,0.0000,-861801296.0000,-7472210844.7914,19.6520,19.7264
2010-07-10,24.53,,,,,,,,,,,
2010-08-10,24.57,32.4340,31.4226,45.4070,18.3245,-137.8170,100.0000,42.8571,-1018727196.0000,-7357272613.0058,19.6986,19.5697
2010-11-10,24.59,39.4907,39.1743,64.1183,45.9793,11.2303,0.0000,64.2857,-937855396.0000,-7243104739.5234,20.7139,20.5504
2010-12-10,24.83,81.6120,83.8094,68.1120,36.4303,77.5583,35.7143,100.0000,-960589196.0000,-7169274211.9655,20.4142,20.5868
2010-10-13,25.34,84.1931,81.8873,61.0744,19.2633,226.2161,50.0000,100.0000,-1218934596.0000,-7363258921.7872,18.8116,18.9230
2010-10-14,25.23,81.7104,83.0674,66.0079,22.0207,139.1437,42.8571,92.8571,-1270883696.0000,-7344923945.3166,18.8638,19.0139
2010-10-15,25.54,85.5795,83.8277,67.2052,25.0383,133.2867,35.7143,100.0000,-1201928896.0000,-7280278820.3166,18.9306,19.0980
2010-10-18,25.82,88.0196,85.1032,70.9419,28.5946,134.3329,28.5714,100.0000,-1153598396.0000,-7257080180.3166,19.0558,19.1990
2010-10-19,25.1,70.1219,81.2403,60.3175,28.6431,31.1998,21.4286,92.8571,-1219749296.0000,-7275980437.4595,19.1602,19.2369
2010-10-20,25.31,49.0862,69.0759,60.0054,28.7782,42.5558,14.2857,85.7143,-1163465696.0000,-7253466997.4595,19.2324,19.2665
2010-10-21,25.42,34.2704,51.1595,63.9433,29.3393,47.0910,7.1429,78.5714,-1113433296.0000,-7227940262.7656,19.2962,19.3173
