Date,INTC.O,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,OBV,Chaikin A/D,SMA,EMA
2010-02-18,20.84,91.6897,88.3491,61.0827,27.8085,101.2738,35.7143,92.8571,224967668.0000,-5778450132.2856,13.1433,13.3117
2010-02-19,20.82,90.5436,89.4975,62.2889,27.9996,85.6152,28.5714,100.0000,184207668.0000,-5769043978.4394,13.2192,13.3784
2010-02-22,20.87,87.6959,89.9764,65.6863,28.1715,76.9141,21.4286,92.8571,222938268.0000,-5752802113.9233,13.3413,13.4606
2010-02-23,20.388,59.6754,79.3050,62.6853,25.6300,26.4177,14.2857,85.7143,160692968.0000,-5796562446.0445,13.4311,13.5147
2010-02-24,20.7,50.6595,66.0103,54.6194,23.3426,39.2287,7.1429,78.5714,211763068.0000,-5781735642.8187,13.4892,13.5205
2010-02-25,20.63,43.1242,51.1530,51.1889,22.4424,-22.2318,0.0000,71.4286,162973668.0000,-5739599342.8187,13.5407,13.5072
2010-02-26,20.53,52.2842,48.6893,55.9071,21.4831,-44.3173,0.0000,64.2857,115178368.0000,-5749158402.8187,13.6047,13.5240
2010-01-03,20.87,,,,,,,,,,,
2010-02-03,20.6975,44.5719,31.5382,42.9798,32.1509,-54.2484,78.5714,7.1429,-50300932.0000,-5829836278.5497,13.2202,13.1760
2010-03-03,20.52,59.4696,61.0918,56.9037,17.6945,-53.3112,0.0000,92.8571,57072768.0000,-5781280624.3809,13.6701,13.6220
2010-04-03,20.53,,,,,,,,,,,
2010-05-03,20.79,30.6891,28.0915,42.9053,32.8968,-82.8575,0.0000,14.2857,707068568.0000,-5278819732.9658,15.6314,15.4876
2010-08-03,20.77,25.6627,21.1637,47.8483,28.3531,-96.4774,85.7143,0.0000,60636568.0000,-5187754173.6269,14.2033,14.0834
2010-09-03,20.94,70.4056,46.9081,42.8828,45.0955,43.8567,78.5714,7.1429,-63722142.0000,-5421252257.3615,12.2854,12.3548
2010-10-03,21.19,,,,,,,,,,,
2010-11-03,21.25,80.2848,72.1193,66.1884,48.1917,104.6787,21.4286,92.8571,446891958.0000,-5185951404.2493,13.4944,13.5144
2010-12-03,21.27,84.8941,73.2520,68.8926,33.3764,133.9494,50.0000,0.0000,479717558.0000,-5052305263.8766,14.3329,14.3818
2010-03-15,21.17,84.3282,86.9221,61.6488,20.7008,78.7151,14.2857,92.8571,330549968.0000,-5650090099.5791,13.8014,13.8230
2010-03-16,22.01,85.0305,86.6134,63.1346,23.6888,165.4212,7.1429,100.0000,453610868.0000,-5535819263.8648,13.8173,13.8580
2010-03-17,22.2425,87.0906,85.4831,75.5929,27.1052,191.0398,0.0000,100.0000,531416768.0000,-5496032155.9103,13.9031,13.9862
2010-03-18,22.2,92.6341,88.2517,76.9486,30.1800,134.9577,28.5714,100.0000,476958268.0000,-5489625273.5573,14.0081,14.1067
2010-03-19,21.9925,83.6310,87.7852,77.5870,31.2912,86.5158,21.4286,100.0000,398959768.0000,-5518538510.6263,14.1130,14.2126
2010-03-22,22.24,82.0641,86.1097,64.9321,32.2913,76.4557,14.2857,92.8571,446365468.0000,-5483499514.9741,14.1830,14.2535
2010-03-23,22.6725,83.1620,82.9524,71.9007,34.5162,119.3481,7.1429,100.0000,511106368.0000,-5444488972.6664,14.2959,14.3494
2010-03-24,22.43,81.7026,82.3096,73.4773,36.1817,86.2599,0.0000,92.8571,456377368.0000,-5464816886.9521,14.4002,14.4447
2010-03-25,22.35,71.7199,78.8615,75.0338,37.8518,77.1844,0.0000,85.7143,403948668.0000,-5507259167.9045,14.5012,14.5395
2010-03-26,22.24,55.7868,69.7364,67.4897,37.2938,40.2941,7.1429,78.5714,358248168.0000,-5523078571.7507,14.5752,14.5882
2010-03-29,22.33,46.5460,58.0176,67.0217,36.7916,39.1795,0.0000,71.4286,392716068.0000,-5536566010.8811,14.6580,14.6263
2010-03-30,22.34,41.0335,47.7888,66.5093,35.6443,21.1634,0.0000,64.2857,430602368.0000,-5540775599.7700,14.7352,14.6557
2010-03-31,22.29,37.4926,41.6907,63.6267,34.6117,3.0648,0.0000,57.1429,384618568.0000,-5559819395.7296,14.7524,14.6701
2010-01-04,22.39,74.6205,79.3600,68.1343,29.3039,150.0651,42.8571,100.0000,105802468.0000,-5704231987.8057,13.2334,13.2972
2010-02-04,,37.1749,37.4973,39.6272,33.6820,-150.2011,100.0000,0.0000,-141232032.0000,-5900560467.4386,13.1270,13.1294
2010-05-04,22.59,19.6469,25.5011,41.9852,34.0331,-156.4532,100.0000,7.1429,616364268.0000,-5316750622.0567,15.5476,15.4240
2010-06-04,22.4,66.5605,77.0292,48.8920,32.8067,-16.9421,50.0000,14.2857,205393068.0000,-5036640582.0072,14.0688,14.2691
2010-07-04,22.45,,,,,,,,,,,
2010-08-04,22.31,36.4769,29.4258,47.0104,26.1112,-81.1685,78.5714,35.7143,146276268.0000,-5156422576.0660,14.1633,14.0575
2010-09-04,22.55,,,,,,,,,,,
2010-12-04,22.539,,,,,,,,,,,
2010-04-13,22.7699,77.9620,62.2336,68.5181,35.5851,162.5832,21.4286,100.0000,558282568.0000,-5419429133.9181,14.8257,14.8268
2010-04-14,23.52,82.5945,72.4430,82.5808,39.0484,293.1066,14.2857,100.0000,718263168.0000,-5389001973.8610,14.9029,14.9601
2010-04-15,24.221,91.3438,83.9668,84.7236,42.9753,216.3248,7.1429,100.0000,829082768.0000,-5335166371.4611,15.0026,15.1004
2010-04-16,23.92,86.1459,86.6947,86.3714,46.2737,121.8210,0.0000,92.8571,726107868.0000,-5358929809.9227,15.1122,15.2428
2010-04-19,24.0,83.4070,86.9656,80.1097,47.4613,83.5198,50.0000,85.7143,797418668.0000,-5299028737.9226,15.2066,15.3413
2010-04-20,24.12,78.3290,82.6273,82.7899,48.9199,84.2821,42.8571,78.5714,863410068.0000,-5282059520.7798,15.3235,15.4567
2010-04-21,23.8,63.2073,74.9811,78.7254,47.7913,48.7476,35.7143,71.4286,789510768.0000,-5290827234.3391,15.4337,15.5391
2010-04-22,23.99,60.3827,67.3063,60.5572,45.4720,36.8182,28.5714,64.2857,863176868.0000,-5231004428.2988,15.5113,15.5405
2010-04-23,24.04,60.3943,61.3281,66.7567,43.3847,48.0420,21.4286,57.1429,920140568.0000,-5180945419.2079,15.6136,15.5897
2010-04-26,23.82,67.9144,62.8972,68.5422,41.7708,37.2375,14.2857,50.0000,862412968.0000,-5235065044.2079,15.7054,15.6456
2010-04-27,23.35,45.8583,58.0557,59.0540,37.6848,-144.5953,7.1429,42.8571,783475368.0000,-5300274365.9471,15.7767,15.6492
2010-04-28,23.26,29.5744,47.7824,51.7733,35.5755,-212.5662,0.0000,35.7143,674423268.0000,-5270532884.1289,15.7661,15.6138
2010-04-29,23.49,27.4179,34.2835,50.0589,33.4201,-96.2137,0.0000,28.5714,733482668.0000,-5222722893.6527,15.7331,15.5752
2010-04-30,22.84,26.1674,27.7199,52.6709,33.1447,-142.9116,0.0000,21.4286,651618668.0000,-5297030216.7296,15.6928,15.5581
2010-03-05,23.26,43.6228,47.9083,54.1993,15.7198,28.8312,0.0000,78.5714,165702568.0000,-5713100610.0219,13.6635,13.6218
2010-04-05,22.56,58.9026,46.6187,66.9834,34.3470,88.8554,0.0000,42.8571,465052468.0000,-5544606097.7824,14.7815,14.7186
2010-05-05,22.1725,25.1789,25.1716,31.7891,35.7831,-157.1587,100.0000,0.0000,519510168.0000,-5303634962.6817,15.4259,15.2912
2010-06-05,21.51,,,,,,,,,,,
2010-07-05,21.31,,,,,,,,,,,
2010-10-05,22.55,20.0514,24.5350,50.6654,37.0274,-35.8271,0.0000,85.7143,-183357042.0000,-5316579358.7664,12.8924,12.8513
2010-11-05,22.28,94.3253,85.6692,75.6441,53.3700,175.2420,7.1429,100.0000,568900658.0000,-5095788664.8471,13.6585,13.7003
2010-12-05,23.09,,,,,,,,,,,
2010-05-13,22.5,84.7130,82.0749,55.2381,37.7916,46.2244,64.2857,7.1429,250615868.0000,-5121168650.6943,14.9340,15.0216
2010-05-14,21.89,65.2283,80.0490,43.6951,37.8647,-48.0998,57.1429,0.0000,167089668.0000,-5116255344.8119,14.8613,14.9728
2010-05-17,22.02,43.9624,64.6345,38.9570,38.1165,-41.2841,50.0000,0.0000,231640068.0000,-5057756544.8119,14.7903,14.8797
2010-05-18,21.43,20.6817,43.2908,44.8469,37.6691,-51.8957,42.8571,7.1429,155003968.0000,-5117362400.3675,14.7485,14.8506
2010-05-19,21.6,22.5812,29.0751,38.3165,37.8577,-68.6351,35.7143,0.0000,244534568.0000,-5055573676.4238,14.7099,14.7519
2010-05-20,20.79,14.3615,19.2081,33.8940,38.6312,-127.6877,28.5714,0.0000,137983568.0000,-5106457215.1993,14.6348,14.6107
2010-05-21,20.9075,24.3792,20.4406,29.3084,39.9744,-131.4742,21.4286,0.0000,249752668.0000,-5053959607.6236,14.5783,14.4214
2010-05-24,20.67,23.1301,20.6236,37.6108,40.9745,-97.3508,14.2857,50.0000,193316568.0000,-5099246000.6759,14.4892,14.3319
2010-05-25,20.85,36.0666,27.8586,31.3273,42.6615,-99.2033,7.1429,42.8571,289467968.0000,-5007673238.7712,14.3429,14.1582
2010-05-26,20.7,39.4301,32.8756,43.6728,41.6614,-46.9644,0.0000,35.7143,203801168.0000,-5092657434.7871,14.2432,14.1346
2010-05-27,21.76,64.0426,46.5131,44.3534,39.7286,49.3677,85.7143,28.5714,287037968.0000,-5019213199.4930,14.1189,14.1226
2010-05-28,21.42,73.9498,59.1408,50.1527,37.9891,45.6422,78.5714,21.4286,214325368.0000,-5038789668.7238,14.0850,14.1756
2010-05-31,,,,,,,,,,,,
2010-01-06,21.18,77.7571,73.6387,65.8003,31.5598,96.5420,28.5714,85.7143,13407368.0000,-5684094410.8826,13.4011,13.4195
2010-02-06,21.81,,,,,,,,,,,
2010-03-06,21.9,,,,,,,,,,,
2010-04-06,20.945,63.3943,55.2526,64.7978,33.3705,-34.3021,0.0000,35.7143,417995968.0000,-5531772506.8733,14.8184,14.7347
2010-07-06,20.3075,26.0818,15.7588,33.3058,31.0879,-64.9986,92.8571,14.2857,-256626432.0000,-5194252080.9067,13.3696,13.2943
2010-08-06,20.18,34.4278,34.2554,39.8946,21.9521,-69.5872,100.0000,21.4286,50967468.0000,-5134126270.6114,14.0577,13.9581
2010-09-06,19.93,,,,,,,,,,,
2010-10-06,20.55,21.5190,20.0050,54.2644,38.7819,5.7864,0.0000,78.5714,-128367042.0000,-5289084358.7664,12.9038,12.8545
2010-11-06,20.64,,,,,,,,,,,
2010-06-14,20.89,65.1529,43.1785,47.7347,32.5024,12.7532,71.4286,50.0000,165136468.0000,-5037570810.8752,13.9186,13.8419
2010-06-15,21.48,82.4015,62.7096,49.9179,29.4154,65.2912,64.2857,42.8571,227218468.0000,-4993549029.0570,13.9060,13.8770
2010-06-16,21.489,88.6457,78.7333,53.9275,26.9279,82.8182,57.1429,35.7143,270983068.0000,-4981812159.0570,13.9073,13.9420
2010-06-17,21.52,90.5791,87.2088,56.2619,24.8265,96.1793,50.0000,28.5714,308253968.0000,-4970402699.8733,13.8829,14.0170
2010-06-18,21.4,81.0366,86.7538,55.7389,22.8512,78.1031,42.8571,21.4286,243381368.0000,-4974543504.1286,13.8842,14.0747
2010-06-21,21.19,60.3602,77.3253,57.3540,20.5864,54.1300,35.7143,14.2857,194537068.0000,-5003229839.0493,13.9327,14.1352
2010-06-22,20.98,35.8650,59.0873,47.8334,19.3972,7.0428,28.5714,7.1429,135705968.0000,-5032019526.2833,13.9932,14.1194
2010-06-23,20.81,18.4972,38.2408,44.9184,19.1155,-54.3249,21.4286,0.0000,74353568.0000,-5042244926.2833,14.0298,14.0835
2010-06-24,20.32,12.3582,22.2401,40.3202,20.3705,-136.0804,14.2857,64.2857,12349668.0000,-5079026900.8596,14.0477,14.0155
2010-06-25,20.0325,10.1778,13.6777,37.3959,22.3148,-169.4454,7.1429,57.1429,-82333532.0000,-5121816423.9365,14.0537,13.9332
2010-06-28,20.36,16.2031,12.9130,33.8050,23.0659,-102.7471,0.0000,50.0000,-27865132.0000,-5104194294.5248,13.9979,13.8309
2010-06-29,19.79,16.9248,14.4352,32.4901,24.4637,-126.1952,100.0000,42.8571,-106915932.0000,-5127909534.5247,13.9241,13.7338
2010-06-30,19.45,15.4850,16.2043,29.0643,26.3451,-116.3572,100.0000,35.7143,-171210632.0000,-5181998726.5882,13.8104,13.6182
2010-01-07,19.25,62.7313,69.6757,62.9342,30.1265,17.0467,21.4286,78.5714,-40634132.0000,-5671227387.0731,13.4391,13.4481
2010-02-07,19.2,,,,,,,,,,,
2010-05-07,,36.0185,29.3672,23.8171,43.0009,-140.9960,92.8571,7.1429,219453768.0000,-5203987129.6172,15.1763,14.9969
2010-06-07,19.481,35.0938,61.8673,42.6460,33.7731,-116.1220,42.8571,7.1429,139957868.0000,-5090893817.4503,14.1041,14.2060
2010-07-07,20.1425,53.4165,30.2821,32.1694,29.0001,0.3966,85.7143,7.1429,-183819632.0000,-5126579093.7273,13.2586,13.2295
2010-08-07,20.1,,,,,,,,,,,
2010-09-07,20.24,70.0922,61.7008,40.1954,43.4321,-10.2872,71.4286,0.0000,-122358642.0000,-5457085674.0281,12.2479,12.3447
2010-12-07,20.57,70.8067,81.4621,72.7388,34.4085,78.3810,35.7143,100.0000,464587358.0000,-5085641863.8766,14.4382,14.4782
2010-07-13,21.01,80.5899,86.6108,59.7955,25.4440,201.8985,57.1429,100.0000,-36603732.0000,-5131326652.6266,13.2326,13.4421
2010-07-14,21.36,70.9300,80.1892,70.1664,27.8169,158.4479,50.0000,92.8571,162398868.0000,-5297504081.4926,13.3696,13.6648
2010-07-15,21.51,61.7716,71.0972,58.9969,28.7779,97.0025,42.8571,85.7143,280957068.0000,-5211651591.8374,13.4786,13.7599
2010-07-16,21.02,55.2077,62.6364,59.8838,29.5985,62.7843,35.7143,78.5714,200505568.0000,-5285398800.1707,13.6116,13.8486
2010-07-19,21.59,51.9712,56.3168,55.9959,30.6179,72.0557,28.5714,71.4286,263935968.0000,-5227600400.1707,13.7419,13.8898
2010-07-20,21.65,47.0345,51.4044,55.8410,31.7985,64.4012,21.4286,64.2857,336602368.0000,-5173388958.9009,13.8489,13.9223
2010-07-21,21.26,46.7854,48.5970,60.7840,32.8611,41.6526,14.2857,57.1429,264827068.0000,-5220730114.2200,13.9892,13.9984
2010-07-22,21.78,55.7361,49.8520,56.9812,34.5615,87.1625,7.1429,50.0000,339292568.0000,-5192805551.7200,14.0564,14.0341
2010-07-23,21.69,60.7512,54.4242,60.5922,36.0269,68.5728,0.0000,42.8571,277177068.0000,-5140246282.4892,14.1614,14.0983
2010-07-26,21.71,71.9852,62.8242,61.0927,37.3823,73.8544,0.0000,35.7143,328106568.0000,-5097152090.1816,14.2525,14.1557
2010-07-27,21.58,62.1212,64.9525,61.0927,38.4448,40.2166,0.0000,28.5714,274130768.0000,-5092525593.0387,14.2997,14.2027
2010-07-28,21.33,41.7051,58.6038,60.1496,38.5847,-21.8935,0.0000,21.4286,222456868.0000,-5133864713.0387,14.2718,14.2363
2010-07-29,21.03,27.7827,43.8697,54.3254,35.2815,-162.6514,0.0000,14.2857,138645468.0000,-5154817563.0387,14.2751,14.2336
2010-07-30,20.6,11.6908,27.0595,42.8834,32.0920,-222.7752,0.0000,7.1429,71249568.0000,-5214284533.6269,14.2312,14.1564
2010-02-08,21.15,35.0265,36.4473,41.6983,34.7781,-38.7159,85.7143,14.2857,-115083532.0000,-5895293232.9558,12.9881,13.0030
2010-03-08,20.87,52.6104,45.6220,57.6064,15.0841,87.5032,50.0000,71.4286,129960468.0000,-5721043298.9108,13.6542,13.6429
2010-04-08,20.73,42.5739,56.0022,62.0484,32.9517,-101.8888,7.1429,21.4286,439711268.0000,-5527984375.0202,14.8108,14.7522
2010-05-08,20.67,,,,,,,,,,,
2010-06-08,20.65,12.0381,37.8974,36.4391,35.4340,-153.8044,100.0000,0.0000,48580068.0000,-5018164548.0625,14.0556,14.0673
2010-09-08,20.65,51.4069,63.9682,35.2818,42.9580,-103.1429,64.2857,0.0000,-224105642.0000,-5457085674.0281,12.2131,12.2975
2010-10-08,19.82,55.5477,36.5891,59.1845,42.8558,82.5917,0.0000,64.2857,-30043742.0000,-5249798381.2889,12.9500,12.8983
2010-11-08,19.425,90.5292,89.0840,79.0166,56.0725,143.2703,0.0000,100.0000,515893758.0000,-5129520328.4835,13.7626,13.8286
2010-12-08,19.45,68.6828,76.0583,65.6261,35.2757,101.6275,28.5714,100.0000,533546958.0000,-5062655330.5433,14.4820,14.5080
2010-08-13,19.15,11.2530,16.0450,30.4548,28.8521,-111.3747,92.8571,7.1429,-155268332.0000,-5244737206.0275,13.5605,13.4513
2010-08-16,19.47,20.4202,15.0033,28.4592,30.4693,-77.8957,85.7143,0.0000,-106547232.0000,-5215504546.0275,13.4532,13.3369
2010-08-17,19.53,32.2785,21.3172,41.4681,29.6700,-39.8214,78.5714,0.0000,-45710832.0000,-5266475583.8654,13.3774,13.3139
2010-08-18,19.59,52.4329,35.0439,38.8939,29.0782,-33.6196,71.4286,0.0000,13271568.0000,-5279794190.3170,13.2916,13.2720
2010-08-19,18.9,43.3365,42.6826,32.3228,30.7315,-117.5140,100.0000,7.1429,-146628832.0000,-5349750615.3170,13.1798,13.1695
2010-08-20,18.91,28.8537,41.5410,31.7899,32.3477,-119.9187,100.0000,0.0000,-51454432.0000,-5325957015.3170,13.0773,13.0795
2010-08-23,18.7,9.9594,27.3832,31.7899,34.2127,-130.9413,100.0000,0.0000,-123408832.0000,-5360040678.4749,12.9520,13.0059
2010-08-24,18.405,7.4889,15.4340,27.7271,36.3878,-140.1554,100.0000,0.0000,-198516232.0000,-5427378347.4404,12.8482,12.9018
2010-08-25,18.48,13.5107,10.3197,24.7060,38.7908,-116.4842,100.0000,7.1429,-181600226.0000,-5419539222.7087,12.7624,12.7789
2010-08-26,18.18,13.1588,11.3861,33.9868,41.0768,-110.4940,100.0000,0.0000,-199532942.0000,-5433080253.1577,12.7249,12.7222
2010-08-27,18.37,28.7535,18.4743,29.6941,43.7155,-99.1781,100.0000,0.0000,-64348642.0000,-5355016079.9182,12.6512,12.6295
2010-08-30,17.96,23.9743,21.9622,30.2096,46.0903,-102.5542,92.8571,0.0000,-138067542.0000,-5420765369.1074,12.5916,12.5561
2010-08-31,17.665,23.8468,25.5248,26.2529,48.7817,-134.2425,100.0000,28.5714,-249668942.0000,-5487028700.3574,12.4683,12.4510
2010-01-09,18.14,,,,,,,,,,,
2010-02-09,18.28,57.7660,43.3110,44.9768,33.8394,29.4814,78.5714,7.1429,-45629432.0000,-5899923506.2892,12.9630,12.9962
2010-03-09,18.43,65.8805,54.0379,53.7556,16.1923,137.9887,42.8571,100.0000,213129168.0000,-5717962976.6885,13.6437,13.6446
2010-06-09,,10.5704,19.2341,38.7768,35.4011,-120.9903,92.8571,71.4286,-10401132.0000,-5065987142.6571,14.0735,13.9744
2010-07-09,18.12,90.1948,73.0875,46.1052,23.9329,75.5109,71.4286,7.1429,-196383432.0000,-5085712138.0669,13.1814,13.2928
2010-08-09,17.9,40.3765,35.5553,48.4832,20.0250,-61.0513,100.0000,14.2857,50967468.0000,-5121999217.9798,14.0091,13.9525
2010-09-09,18.0,33.3814,51.6269,35.5554,42.3143,-48.3493,57.1429,0.0000,-159086042.0000,-5461420314.0281,12.1997,12.2601
2010-10-09,17.97,,,,,,,,,,,
2010-09-13,18.5575,51.8812,36.6220,41.7932,38.7443,130.9687,42.8571,0.0000,-154029842.0000,-5388575398.7504,12.1548,12.2152
2010-09-14,18.74,73.3892,49.9579,49.4428,35.2011,141.8661,35.7143,100.0000,-89550342.0000,-5340916637.8808,12.1736,12.2513
2010-09-15,18.72,95.2146,73.4950,53.7957,32.0123,124.4166,28.5714,92.8571,-145657642.0000,-5309203816.1417,12.2305,12.3051
2010-09-16,18.97,95.0251,87.8763,53.0346,30.1936,127.2128,21.4286,100.0000,-76491842.0000,-5243496306.1417,12.2814,12.3455
2010-09-17,18.81,86.7026,92.3141,59.9580,29.0256,102.7994,14.2857,100.0000,-146928442.0000,-5265829862.2392,12.3350,12.4187
2010-09-20,18.9301,82.7281,88.1519,56.0624,27.9744,84.0332,7.1429,92.8571,-101993342.0000,-5230847054.7577,12.3598,12.4616
2010-09-21,19.14,77.0844,82.1717,55.7747,28.4324,103.8723,0.0000,100.0000,-32861942.0000,-5203516036.1531,12.3946,12.4955
2010-09-22,19.01,74.7513,78.1879,59.4711,28.8447,89.5962,28.5714,92.8571,-94431342.0000,-5224039169.4864,12.4616,12.5427
2010-09-23,18.98,64.3160,72.0506,53.5641,28.0538,72.2435,21.4286,100.0000,-146386042.0000,-5233316794.4864,12.5152,12.5581
2010-09-24,19.4225,69.0460,69.3711,61.9604,28.0437,160.4528,14.2857,100.0000,-90636742.0000,-5188923833.3753,12.6010,12.6171
2010-09-27,19.235,71.3683,68.2434,65.0974,28.0346,110.3785,7.1429,92.8571,-141707742.0000,-5217523593.3753,12.6800,12.6860
2010-09-28,19.505,85.9135,75.4426,62.0856,28.7379,122.5479,0.0000,100.0000,-80688142.0000,-5173381755.0774,12.7323,12.7314
2010-09-29,19.24,72.5602,76.6140,65.4413,29.6157,79.3721,7.1429,100.0000,-143172442.0000,-5205873591.0774,12.7825,12.7893
2010-09-30,19.2,55.8753,71.4497,60.5385,30.2914,56.1956,0.0000,92.8571,-218554642.0000,-5253422363.3851,12.8254,12.8196
2010-01-10,19.32,,,,,,,,,,,
2010-04-10,18.87,,,,,,,,,,,
2010-05-10,19.15,60.3138,41.0788,44.0537,42.6743,-8.8122,85.7143,0.0000,332061168.0000,-5097010099.6172,15.0685,14.9647
2010-06-10,19.31,23.8082,15.4722,38.4075,35.3716,-63.0178,85.7143,64.2857,46767168.0000,-5025152642.6571,14.0236,13.8936
2010-07-10,19.4,,,,,,,,,,,
2010-08-10,19.52,32.0608,35.6217,36.7983,21.3473,-240.4816,100.0000,7.1429,-85384932.0000,-5188724860.5330,13.9148,13.8651
2010-11-10,19.56,68.2396,80.6258,72.4144,55.7156,52.1938,0.0000,85.7143,421182158.0000,-5125903837.5906,13.9606,13.9820
2010-12-10,19.77,66.7277,63.7275,67.6727,38.2199,102.6720,14.2857,92.8571,506079958.0000,-5089805457.8448,14.5799,14.6114
2010-10-13,19.24,59.4430,71.7925,71.9711,44.0970,39.3201,0.0000,42.8571,-56405242.0000,-5351048172.5115,13.0190,13.0537
2010-10-14,19.32,41.0362,62.5737,50.2041,42.3258,-23.5443,42.8571,35.7143,2850658.0000,-5355606318.6653,13.0170,13.0322
2010-10-15,19.32,15.3257,38.6016,53.2522,40.7906,-15.0916,35.7143,28.5714,2850658.0000,-5362723296.4431,13.0150,13.0306
2010-10-18,19.19,19.1788,25.1802,48.6689,37.2538,-110.8894,28.5714,21.4286,-52134442.0000,-5348584270.7288,13.0156,13.0073
2010-10-19,19.21,22.1930,18.8992,42.9627,34.5840,-108.8777,21.4286,14.2857,33275358.0000,-5325924527.8717,13.0109,12.9577
2010-10-20,19.64,44.0931,28.4883,50.4505,34.4309,74.6032,14.2857,7.1429,118159958.0000,-5289545413.5859,13.0170,12.9526
2010-10-21,19.76,67.0360,44.4407,59.5957,34.6560,114.6341,7.1429,0.0000,192447458.0000,-5266490672.2066,13.0424,13.0031
2010-10-22,19.835,88.1503,66.4265,60.3191,35.1757,119.0031,0.0000,50.0000,242577258.0000,-5269275661.0955,13.0686,13.0494
2010-10-25,19.87,89.5140,81.5667,63.2436,35.9604,111.4420,71.4286,42.8571,288346658.0000,-5283006481.0955,13.0927,13.1067
